zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target
Yes,No,No,No,Yes,1,1,No,7,698,422,463,4,46,94,12,12,34,6,9.4,Donor
No,No,No,Yes,No,2,5,Yes,8,828,358,376,13,32,30,10,5,29,7,4.285714286,Donor
No,No,No,Yes,Yes,1,3,No,4,1471,484,546,4,94,177,10,8,30,3,7.08,No Donor
No,Yes,No,No,Yes,1,4,No,8,547,386,432,7,20,23,11,11,30,6,7.666666667,No Donor
No,Yes,No,No,Yes,1,4,Yes,8,482,242,275,28,38,73,10,10,31,3,7.3,Donor
No,No,No,Yes,Yes,1,4,Yes,8,857,450,498,5,47,139,20,20,37,3,10.69230769,Donor
No,No,Yes,No,Yes,1,4,No,5,505,333,388,16,51,63,15,10,37,8,9,Donor
Yes,No,No,No,Yes,1,4,Yes,8,1438,458,533,8,21,26,16,16,30,6,13,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,1316,541,575,11,66,108,12,7,31,1,6,Donor
Yes,No,No,No,Yes,1,1,Yes,5,428,203,271,39,73,161,6,3,32,7,3.659090909,Donor
No,No,Yes,No,Yes,1,4,Yes,5,629,434,472,6,59,84,5,3,30,12,3.652173913,No Donor
Yes,No,No,No,No,1,5,No,8,1318,399,458,8,25,40,10,10,32,2,8,Donor
No,No,No,Yes,No,1,2,No,8,1052,337,402,5,27,50,20,20,37,7,16.66666667,No Donor
No,No,Yes,No,Yes,1,3,Yes,5,779,434,500,3,98,126,7,7,33,1,4.344827586,Donor
No,No,No,Yes,Yes,1,4,No,6,807,354,393,13,60,100,10,10,30,10,9.090909091,Donor
Yes,No,No,No,Yes,1,4,No,9,2246,542,640,1,76,262,34,32,33,3,14.55555556,No Donor
Yes,No,No,No,Yes,1,2,No,7,789,295,398,18,48,127,60,42,37,6,31.75,Donor
No,No,No,Yes,No,1,6,Yes,7,995,372,407,10,83,476,25,10,28,6,13.6,Donor
No,No,Yes,No,Yes,1,7,No,7,936,521,590,11,69,98,6,5,31,2,3.62962963,Donor
No,No,No,Yes,Yes,1,5,Yes,8,860,321,392,9,38,53,20,5,18,0,8.833333333,Donor
No,No,No,Yes,Yes,1,4,Yes,8,3510,622,633,4,22,25,15,15,34,3,12.5,No Donor
No,No,Yes,No,No,1,5,Yes,8,735,446,455,7,58,79,9,9,30,6,6.076923077,No Donor
No,No,No,Yes,Yes,1,7,No,6,1888,382,435,17,98,350,23,13,17,35,17.5,Donor
No,No,Yes,No,Yes,1,6,Yes,9,3958,761,862,0,53,119,20,20,31,3,11.9,Donor
No,Yes,No,No,Yes,1,4,Yes,8,411,236,273,21,15,15,15,15,35,5,15,Donor
No,Yes,No,No,Yes,1,4,No,2,610,281,328,16,50,161,25,10,36,5,10.0625,Donor
Yes,No,No,No,Yes,1,1,Yes,8,826,415,514,5,37,32,15,15,37,6,8,No Donor
Yes,No,No,No,Yes,1,4,Yes,4,780,321,354,14,48,175,20,15,37,9,13.46153846,Donor
No,Yes,No,No,No,1,2,No,2,418,300,348,12,92,186,15,14,37,5,8.454545455,No Donor
No,No,No,Yes,No,1,4,Yes,4,3321,434,536,10,66,85,20,20,37,10,9.444444444,Donor
No,No,No,Yes,Yes,1,3,No,8,1868,324,380,12,28,31,10,10,32,3,5.166666667,Donor
No,No,Yes,No,No,1,4,Yes,8,457,302,329,19,85,79,10,10,30,12,3.590909091,No Donor
No,No,No,Yes,Yes,1,5,No,8,1604,438,431,12,26,35,10,10,31,6,8.75,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,842,464,556,3,50,107,10,10,31,4,5.944444444,No Donor
Yes,No,No,No,Yes,1,6,Yes,8,2085,755,797,3,50,85,5,5,32,6,4.722222222,Donor
No,No,No,Yes,Yes,1,6,No,8,5505,1255,1142,0,24,39,16,13,34,6,13,No Donor
No,No,No,Yes,Yes,1,4,Yes,8,819,415,428,5,26,28,10,10,29,4,5.6,No Donor
Yes,No,No,No,Yes,1,4,No,8,0,0,0,0,27,40,10,10,31,6,10,No Donor
No,Yes,No,No,Yes,1,3,Yes,8,296,280,315,17,64,52,5,2,20,7,2.260869565,Donor
No,Yes,No,No,Yes,1,1,No,8,299,247,315,25,22,47,20,13,30,4,11.75,No Donor
Yes,No,No,No,No,1,5,No,8,675,374,402,7,24,26,16,16,37,9,13,Donor
No,No,No,Yes,Yes,1,1,Yes,0,998,273,354,19,72,90,10,5,31,12,6,Donor
No,Yes,No,No,Yes,1,4,No,8,568,184,216,40,21,32,12,12,31,3,10.66666667,No Donor
No,No,Yes,No,No,1,4,No,5,620,388,405,16,52,107,15,11,35,6,9.727272727,No Donor
No,Yes,No,No,Yes,1,4,No,0,314,165,207,48,76,204,25,25,37,4,12,Donor
No,No,No,Yes,No,1,5,No,8,4347,410,454,8,33,42,10,10,31,5,6,Donor
No,No,No,Yes,No,1,3,No,8,470,300,324,18,29,74,20,20,31,5,14.8,Donor
No,No,No,Yes,Yes,1,4,No,5,1772,418,492,3,99,288,21,15,17,5,13.71428571,Donor
No,No,No,Yes,No,1,1,Yes,8,1000,468,506,6,28,39,10,5,29,3,6.5,No Donor
No,No,No,Yes,Yes,1,6,No,8,4138,787,835,1,37,82,13,13,29,6,11.71428571,Donor
No,No,No,Yes,Yes,1,4,Yes,3,1229,359,490,10,39,35,15,15,34,13,11.66666667,No Donor
No,No,Yes,No,No,1,5,Yes,9,4135,805,880,9,65,82,15,15,37,12,8.2,No Donor
No,No,No,Yes,Yes,1,4,Yes,5,971,347,375,12,50,84,10,7,30,6,6.461538462,No Donor
No,No,Yes,No,Yes,1,2,No,3,596,279,353,21,68,94,7,5,29,2,4.7,Donor
No,No,No,Yes,Yes,1,4,Yes,7,1060,344,390,15,82,191,15,15,32,6,9.55,Donor
No,No,No,Yes,Yes,1,4,Yes,1,634,344,362,13,58,88,15,15,31,12,8,Donor
No,Yes,No,No,Yes,1,6,Yes,8,567,379,421,8,21,38,12,6,28,3,7.6,Donor
Yes,No,No,No,Yes,1,7,No,8,1046,521,576,1,30,66,12,12,28,4,11,Donor
No,No,No,Yes,No,1,2,Yes,4,761,485,511,2,51,93,12,11,32,1,9.3,Donor
No,No,No,Yes,Yes,1,2,Yes,8,1772,592,688,0,15,15,15,15,37,5,15,No Donor
No,Yes,No,No,No,1,5,No,8,436,194,245,33,30,67,15,15,33,7,13.4,No Donor
No,No,No,Yes,No,1,6,No,8,2483,627,668,2,49,98,50,50,30,4,16.33333333,No Donor
No,No,No,Yes,Yes,1,6,No,9,1591,675,693,6,68,115,15,10,19,9,11.5,No Donor
No,No,No,Yes,Yes,1,4,Yes,1,1366,250,276,32,55,91,10,5,28,4,6.5,No Donor
No,No,No,Yes,Yes,1,6,Yes,8,5790,1124,1045,3,20,22,10,7,31,2,7.333333333,Donor
No,No,Yes,No,Yes,1,6,Yes,8,1165,563,607,2,69,187,25,25,28,6,14.38461539,Donor
Yes,No,No,No,No,1,3,No,8,660,308,329,10,53,48,14,7,33,0,6.857142857,No Donor
Yes,No,No,No,Yes,1,2,Yes,8,982,549,533,10,66,165,14,14,31,7,10.3125,No Donor
No,No,Yes,No,Yes,1,5,Yes,8,1732,603,653,0,13,20,20,20,36,5,20,Donor
Yes,No,No,No,Yes,1,4,No,8,597,459,475,4,23,27,10,10,31,5,6.75,Donor
