zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift
No,Yes,No,No,Yes,1,5,Yes,9,1399,637,703,1,74,102,6,5,29,3,4.857142857
Yes,No,No,No,Yes,1,1,No,7,1355,411,497,9,77,249,15,7,35,3,9.576923077
No,No,No,Yes,Yes,1,4,Yes,1,835,310,364,22,70,126,6,6,34,8,4.344827586
No,No,Yes,No,Yes,1,4,No,8,1019,389,473,15,21,26,16,16,37,5,13
No,Yes,No,No,Yes,1,2,Yes,7,992,524,563,6,63,100,20,3,21,6,7.692307692
Yes,No,No,No,Yes,1,4,Yes,8,834,371,408,10,35,92,37,37,37,5,23
No,Yes,No,No,Yes,1,2,Yes,1,639,209,259,36,72,146,12,11,36,5,7.3
Yes,No,No,No,Yes,1,3,No,8,457,253,285,25,68,98,5,3,32,9,4.9
No,Yes,No,No,No,1,4,No,3,349,302,324,19,55,66,7,5,30,9,4.714285714
No,Yes,No,No,No,1,2,No,5,698,335,348,14,59,276,15,13,33,10,11.5
No,No,No,Yes,Yes,1,6,Yes,8,2635,516,535,4,19,30,30,30,37,5,30
No,No,No,Yes,No,1,1,Yes,8,1596,171,218,40,47,91,6,5,17,1,5.055555556
Yes,No,No,No,No,1,4,Yes,8,1172,480,534,7,31,73,15,15,30,6,10.42857143
No,No,No,Yes,Yes,1,4,Yes,4,2835,545,570,5,64,89,12,12,34,1,6.846153846
No,Yes,No,No,No,1,1,Yes,8,1147,439,529,15,95,128,10,10,30,6,6.736842105
Yes,No,No,No,Yes,1,4,Yes,8,903,457,503,4,63,122,13,13,31,3,8.133333333
No,No,No,Yes,Yes,1,4,Yes,7,1113,483,505,5,59,180,12,10,36,10,8.571428571
No,Yes,No,No,No,1,1,No,2,335,266,286,23,30,63,10,10,28,5,7
No,No,No,Yes,Yes,1,4,No,8,771,344,339,16,25,96,13,6,28,1,9.6
No,No,Yes,No,No,1,5,Yes,8,1286,445,527,17,25,25,15,15,36,10,12.5
No,No,No,Yes,Yes,1,4,Yes,6,769,426,406,9,51,138,16,14,37,9,9.2
No,Yes,No,No,Yes,4,4,No,8,329,243,289,10,34,80,10,10,31,5,8
No,No,No,Yes,Yes,1,4,No,8,754,243,345,30,18,25,25,25,36,5,25
No,No,Yes,No,Yes,1,4,No,8,0,0,0,0,57,75.77,15.77,14,34,6,9.47125
No,No,No,Yes,Yes,1,5,No,8,1810,607,639,2,34,44,9,7,31,12,7.333333333
No,No,No,Yes,Yes,1,4,Yes,5,1508,304,331,26,100,280,30,10,29,2,10
Yes,No,No,No,Yes,1,3,No,8,729,211,254,25,81,205,8,4,28,6,5
No,No,No,Yes,Yes,1,3,Yes,8,1557,416,500,3,30,26,16,16,33,4,8.666666667
No,No,No,Yes,Yes,1,2,Yes,2,1315,335,396,17,49,200,50,50,34,9,18.18181818
Yes,No,No,No,No,1,2,Yes,6,704,196,294,37,103,431,32,25,17,7,19.59090909
Yes,No,No,No,No,1,5,No,8,511,243,305,30,27,35,14,14,31,4,8.75
No,No,No,Yes,Yes,1,6,No,7,2157,499,522,9,65,345,35,35,32,6,31.36363636
Yes,No,No,No,Yes,1,2,No,8,707,235,292,13,21,25,15,10,33,4,12.5
No,No,No,Yes,Yes,1,4,No,3,771,295,377,24,79,186,15,10,28,1,5.636363636
No,No,Yes,No,No,1,2,No,8,626,281,301,26,15,15,15,15,37,5,15
No,Yes,No,No,Yes,1,4,No,8,762,381,421,9,21,26,16,16,32,5,13
No,No,No,Yes,Yes,1,3,Yes,8,1535,346,414,13,37,94,15,13,29,1,10.44444444
No,Yes,No,No,Yes,1,4,Yes,9,1049,823,793,15,32,81,12,10,31,8,5.785714286
Yes,No,No,No,Yes,1,3,No,8,483,308,314,10,37,36,10,1,28,3,4
No,No,Yes,No,Yes,1,5,No,7,995,494,464,6,59,111,14,12,28,13,11.1
No,No,No,Yes,Yes,1,5,Yes,3,394,230,274,34,70,111,14,10,34,13,8.538461539
No,No,No,Yes,Yes,1,5,Yes,8,881,421,471,3,35,44.78,10,2.5,34,3,4.975555556
No,No,Yes,No,Yes,1,6,Yes,8,572,189,243,41,22,40,20,20,28,5,13.33333333
No,No,Yes,No,Yes,1,2,No,8,1038,500,589,4,54,54,20,20,30,13,9
No,No,No,Yes,Yes,1,4,Yes,6,580,233,281,20,62,244,22,21,36,6,15.25
Yes,No,No,No,Yes,1,1,No,8,646,358,373,14,74,104.01,5,3,20,16,3.35516129
No,No,Yes,No,No,1,2,Yes,0,555,330,350,14,78,98,7,5,28,3,3.0625
Yes,No,No,No,Yes,1,2,Yes,3,407,240,287,32,47,186,60,50,34,5,37.2
No,No,No,Yes,No,1,1,No,8,1957,630,744,0,45,104,10,10,31,5,6.5
Yes,No,No,No,Yes,1,3,Yes,6,990,380,432,8,69,163,12,12,33,3,8.578947368
No,No,No,Yes,Yes,1,4,No,8,794,241,293,26,24,50,15,10,31,3,10
No,No,No,Yes,Yes,1,5,No,8,1816,369,427,15,28,103,25,22,31,1,20.6
Yes,No,No,No,Yes,1,3,No,4,737,254,296,18,63,132,13,5,31,26,7.333333333
No,No,Yes,No,Yes,1,5,No,8,1530,759,813,2,66,83,7,7,28,17,5.1875
No,Yes,No,No,Yes,1,7,Yes,8,935,536,606,7,25,85,75,75,36,6,42.5
No,No,No,Yes,Yes,1,4,No,8,803,328,388,10,53,69,20,20,37,12,13.8
No,No,No,Yes,Yes,1,7,Yes,8,1928,580,636,5,45,80,20,20,29,11,16
No,No,Yes,No,Yes,1,1,Yes,8,578,311,333,12,24,64,19,19,34,4,16
No,Yes,No,No,Yes,1,3,Yes,0,297,83,130,63,83,222,20,10,30,15,8.222222222
No,No,No,Yes,No,1,1,Yes,8,1189,229,267,30,31,26,5,5,30,6,3.714285714
Yes,No,No,No,Yes,1,5,No,9,892,395,435,6,88,194,16,9,17,6,9.238095238
No,No,Yes,No,Yes,1,4,Yes,5,1468,324,483,16,70,147,25,25,32,11,11.30769231
No,No,No,Yes,Yes,1,6,Yes,8,1688,436,457,13,15,15,15,15,36,5,15
No,No,No,Yes,No,1,3,No,3,1543,512,530,2,82,189,15,13,36,3,9.45
No,No,No,Yes,No,2,3,Yes,8,2478,538,564,3,15,15,15,15,37,5,15
